dataset,gt-tag,train-size,test-size,method,prec,recal,f1
amz,amz-price,1,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,2,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,3,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,4,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,5,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,6,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,7,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,8,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,9,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,10,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,11,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,12,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,13,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,14,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,15,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,16,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,17,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,18,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,19,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,20,77,Tags on path,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,1,77,Ensemble of tags and positions,1.0,0.6056338028169014,0.7543859649122806
amz,amz-price,2,77,Ensemble of tags and positions,1.0,0.6056338028169014,0.7543859649122806
amz,amz-price,3,77,Ensemble of tags and positions,1.0,0.6056338028169014,0.7543859649122806
amz,amz-price,4,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,5,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,6,77,Ensemble of tags and positions,1.0,0.6056338028169014,0.7543859649122806
amz,amz-price,7,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,8,77,Ensemble of tags and positions,1.0,0.6056338028169014,0.7543859649122806
amz,amz-price,9,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,10,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,11,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,12,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,13,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,14,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,15,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,16,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,17,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,18,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,19,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,20,77,Ensemble of tags and positions,1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,1,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,2,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,3,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,4,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,5,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,6,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,7,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,8,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,9,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,10,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,11,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,12,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,13,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,14,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,15,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,16,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,17,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,18,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,19,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
amz,amz-price,20,77,Ancestors and siblings and their text attributes,0.2088235294117647,1.0,0.34549878345498786
